"Year","ID","Name","Median Household Income*","90% Confidence Interval"
"2021","00000","United States","69,717","69,583 to 69,851"
"2021","51000","Virginia","80,926","80,203 to 81,649"
"2021","51001","Accomack County","50,949","45,481 to 56,417"
"2021","51003","Albemarle County","91,849","86,125 to 97,573"
"2021","51005","Alleghany County","49,197","44,695 to 53,699"
"2021","51007","Amelia County","62,884","55,162 to 70,606"
"2021","51009","Amherst County","57,294","51,767 to 62,821"
"2021","51011","Appomattox County","58,860","52,402 to 65,318"
"2021","51013","Arlington County","124,474","119,849 to 129,099"
"2021","51015","Augusta County","69,243","63,176 to 75,310"
"2021","51017","Bath County","56,200","49,189 to 63,211"
"2021","51019","Bedford County","66,026","60,864 to 71,188"
"2021","51021","Bland County","50,492","44,587 to 56,397"
"2021","51023","Botetourt County","74,081","67,909 to 80,253"
"2021","51025","Brunswick County","47,401","42,725 to 52,077"
"2021","51027","Buchanan County","38,087","34,111 to 42,063"
"2021","51029","Buckingham County","54,263","49,592 to 58,934"
"2021","51031","Campbell County","53,059","50,168 to 55,950"
"2021","51033","Caroline County","73,390","67,445 to 79,335"
"2021","51035","Carroll County","45,956","42,043 to 49,869"
"2021","51036","Charles City County","63,299","56,247 to 70,351"
"2021","51037","Charlotte County","48,382","43,510 to 53,254"
"2021","51041","Chesterfield County","86,101","82,991 to 89,211"
"2021","51043","Clarke County","91,603","80,860 to 102,346"
"2021","51045","Craig County","57,299","50,651 to 63,947"
"2021","51047","Culpeper County","82,220","73,727 to 90,713"
"2021","51049","Cumberland County","52,200","45,767 to 58,633"
"2021","51051","Dickenson County","39,722","35,131 to 44,313"
"2021","51053","Dinwiddie County","66,397","59,157 to 73,637"
"2021","51057","Essex County","59,012","51,889 to 66,135"
"2021","51059","Fairfax County","133,845","131,600 to 136,090"
"2021","51061","Fauquier County","106,714","98,593 to 114,835"
"2021","51063","Floyd County","54,765","48,314 to 61,216"
"2021","51065","Fluvanna County","77,226","69,831 to 84,621"
"2021","51067","Franklin County","60,062","55,586 to 64,538"
"2021","51069","Frederick County","85,262","78,429 to 92,095"
"2021","51071","Giles County","55,018","50,436 to 59,600"
"2021","51073","Gloucester County","75,630","69,069 to 82,191"
"2021","51075","Goochland County","104,379","92,088 to 116,670"
"2021","51077","Grayson County","42,553","37,856 to 47,250"
"2021","51079","Greene County","76,941","69,503 to 84,379"
"2021","51081","Greensville County","49,323","43,246 to 55,400"
"2021","51083","Halifax County","46,244","43,174 to 49,314"
"2021","51085","Hanover County","95,195","89,849 to 100,541"
"2021","51087","Henrico County","78,888","75,702 to 82,074"
"2021","51089","Henry County","45,784","41,010 to 50,558"
"2021","51091","Highland County","48,972","43,065 to 54,879"
"2021","51093","Isle of Wight County","86,286","79,637 to 92,935"
"2021","51095","James City County","92,270","84,968 to 99,572"
"2021","51097","King and Queen County","59,730","52,452 to 67,008"
"2021","51099","King George County","98,668","88,512 to 108,824"
"2021","51101","King William County","79,378","70,204 to 88,552"
"2021","51103","Lancaster County","58,578","52,932 to 64,224"
"2021","51105","Lee County","38,529","34,742 to 42,316"
"2021","51107","Loudoun County","153,716","149,197 to 158,235"
"2021","51109","Louisa County","68,838","63,370 to 74,306"
"2021","51111","Lunenburg County","44,852","40,350 to 49,354"
"2021","51113","Madison County","67,527","59,721 to 75,333"
"2021","51115","Mathews County","69,978","61,844 to 78,112"
"2021","51117","Mecklenburg County","48,013","43,567 to 52,459"
"2021","51119","Middlesex County","62,710","55,285 to 70,135"
"2021","51121","Montgomery County","57,752","51,893 to 63,611"
"2021","51125","Nelson County","61,224","54,065 to 68,383"
"2021","51127","New Kent County","102,920","90,918 to 114,922"
"2021","51131","Northampton County","51,059","45,277 to 56,841"
"2021","51133","Northumberland County","63,255","55,576 to 70,934"
"2021","51135","Nottoway County","46,442","40,977 to 51,907"
"2021","51137","Orange County","94,547","89,727 to 99,367"
"2021","51139","Page County","53,449","47,173 to 59,725"
"2021","51141","Patrick County","46,963","42,018 to 51,908"
"2021","51143","Pittsylvania County","52,006","47,090 to 56,922"
"2021","51145","Powhatan County","99,854","89,545 to 110,163"
"2021","51147","Prince Edward County","51,239","45,219 to 57,259"
"2021","51149","Prince George County","79,710","71,391 to 88,029"
"2021","51153","Prince William County","116,354","111,580 to 121,128"
"2021","51155","Pulaski County","53,111","48,287 to 57,935"
"2021","51157","Rappahannock County","80,098","70,143 to 90,053"
"2021","51159","Richmond County","53,959","47,346 to 60,572"
"2021","51161","Roanoke County","73,438","67,149 to 79,727"
"2021","51163","Rockbridge County","59,252","54,154 to 64,350"
"2021","51165","Rockingham County","72,392","68,244 to 76,540"
"2021","51167","Russell County","45,254","39,950 to 50,558"
"2021","51169","Scott County","42,894","37,785 to 48,003"
"2021","51171","Shenandoah County","65,308","58,285 to 72,331"
"2021","51173","Smyth County","42,303","37,986 to 46,620"
"2021","51175","Southampton County","57,965","51,792 to 64,138"
"2021","51177","Spotsylvania County","100,162","95,864 to 104,460"
"2021","51179","Stafford County","116,569","111,032 to 122,106"
"2021","51181","Surry County","61,358","53,707 to 69,009"
"2021","51183","Sussex County","54,282","49,246 to 59,318"
"2021","51185","Tazewell County","40,728","36,316 to 45,140"
"2021","51187","Warren County","73,546","67,378 to 79,714"
"2021","51191","Washington County","54,223","49,370 to 59,076"
"2021","51193","Westmoreland County","59,959","53,249 to 66,669"
"2021","51195","Wise County","41,994","39,209 to 44,779"
"2021","51197","Wythe County","51,206","45,972 to 56,440"
"2021","51199","York County","97,500","91,996 to 103,004"
"2021","51510","Alexandria city","100,877","96,243 to 105,511"
