"Year","ID","Name","Poverty Universe","Number in Poverty","90% Confidence Interval","Percent in Poverty","90% Confidence Interval"
"2021","00000","United States","324,173,084","41,393,176","41,149,497 to 41,636,855","12.8","12.7 to 12.9"
"2021","51000","Virginia","8,401,206","862,792","843,622 to 881,962","10.3","10.1 to 10.5"
"2021","51001","Accomack County","32,887","5,326","4,096 to 6,556","16.2","12.5 to 19.9"
"2021","51003","Albemarle County","106,890","7,465","5,780 to 9,150","7.0","5.4 to 8.6"
"2021","51005","Alleghany County","14,737","1,967","1,549 to 2,385","13.3","10.5 to 16.1"
"2021","51007","Amelia County","13,157","1,307","1,015 to 1,599","9.9","7.7 to 12.1"
"2021","51009","Amherst County","30,283","3,742","2,926 to 4,558","12.4","9.7 to 15.1"
"2021","51011","Appomattox County","16,268","1,873","1,439 to 2,307","11.5","8.8 to 14.2"
"2021","51013","Arlington County","230,410","18,150","15,509 to 20,791","7.9","6.8 to 9.0"
"2021","51015","Augusta County","74,547","6,314","5,006 to 7,622","8.5","6.7 to 10.3"
"2021","51017","Bath County","4,060","449","345 to 553","11.1","8.5 to 13.7"
"2021","51019","Bedford County","79,701","7,042","5,541 to 8,543","8.8","6.9 to 10.7"
"2021","51021","Bland County","5,513","796","604 to 988","14.4","10.9 to 17.9"
"2021","51023","Botetourt County","33,585","2,335","1,859 to 2,811","7.0","5.6 to 8.4"
"2021","51025","Brunswick County","13,845","2,955","2,287 to 3,623","21.3","16.5 to 26.1"
"2021","51027","Buchanan County","18,872","4,502","3,498 to 5,506","23.9","18.6 to 29.2"
"2021","51029","Buckingham County","14,841","2,487","1,848 to 3,126","16.8","12.5 to 21.1"
"2021","51031","Campbell County","55,008","6,018","4,708 to 7,328","10.9","8.5 to 13.3"
"2021","51033","Caroline County","30,789","3,357","2,665 to 4,049","10.9","8.7 to 13.1"
"2021","51035","Carroll County","28,891","4,231","3,348 to 5,114","14.6","11.5 to 17.7"
"2021","51036","Charles City County","6,582","753","576 to 930","11.4","8.7 to 14.1"
"2021","51037","Charlotte County","11,315","1,917","1,470 to 2,364","16.9","12.9 to 20.9"
"2021","51041","Chesterfield County","365,473","26,947","22,687 to 31,207","7.4","6.2 to 8.6"
"2021","51043","Clarke County","14,707","1,059","831 to 1,287","7.2","5.6 to 8.8"
"2021","51045","Craig County","4,845","557","432 to 682","11.5","8.9 to 14.1"
"2021","51047","Culpeper County","52,145","4,647","3,554 to 5,740","8.9","6.8 to 11.0"
"2021","51049","Cumberland County","9,661","1,432","1,089 to 1,775","14.8","11.3 to 18.3"
"2021","51051","Dickenson County","13,306","2,929","2,262 to 3,596","22.0","17.0 to 27.0"
"2021","51053","Dinwiddie County","27,470","3,268","2,637 to 3,899","11.9","9.6 to 14.2"
"2021","51057","Essex County","10,489","1,211","907 to 1,515","11.5","8.6 to 14.4"
"2021","51059","Fairfax County","1,128,086","79,572","71,140 to 88,004","7.1","6.4 to 7.8"
"2021","51061","Fauquier County","73,305","4,780","3,816 to 5,744","6.5","5.2 to 7.8"
"2021","51063","Floyd County","15,483","1,880","1,442 to 2,318","12.1","9.3 to 14.9"
"2021","51065","Fluvanna County","26,478","2,027","1,565 to 2,489","7.7","6.0 to 9.4"
"2021","51067","Franklin County","53,874","6,052","4,704 to 7,400","11.2","8.7 to 13.7"
"2021","51069","Frederick County","92,500","6,980","5,589 to 8,371","7.5","6.0 to 9.0"
"2021","51071","Giles County","16,421","1,934","1,516 to 2,352","11.8","9.3 to 14.3"
"2021","51073","Gloucester County","38,709","3,252","2,479 to 4,025","8.4","6.4 to 10.4"
"2021","51075","Goochland County","24,526","1,549","1,163 to 1,935","6.3","4.7 to 7.9"
"2021","51077","Grayson County","14,389","2,527","1,941 to 3,113","17.6","13.5 to 21.7"
"2021","51079","Greene County","20,814","1,630","1,252 to 2,008","7.8","6.0 to 9.6"
"2021","51081","Greensville County","7,957","1,945","1,463 to 2,427","24.4","18.3 to 30.5"
"2021","51083","Halifax County","33,021","5,290","4,176 to 6,404","16.0","12.6 to 19.4"
"2021","51085","Hanover County","109,619","7,297","6,226 to 8,368","6.7","5.7 to 7.7"
"2021","51087","Henrico County","330,566","23,099","18,974 to 27,224","7.0","5.8 to 8.2"
"2021","51089","Henry County","49,670","8,421","6,846 to 9,996","17.0","13.8 to 20.2"
"2021","51091","Highland County","2,221","290","220 to 360","13.1","10.0 to 16.2"
"2021","51093","Isle of Wight County","39,012","3,205","2,518 to 3,892","8.2","6.4 to 10.0"
"2021","51095","James City County","78,806","5,538","4,409 to 6,667","7.0","5.6 to 8.4"
"2021","51097","King and Queen County","6,650","938","750 to 1,126","14.1","11.3 to 16.9"
"2021","51099","King George County","27,204","1,776","1,375 to 2,177","6.5","5.0 to 8.0"
"2021","51101","King William County","18,069","1,280","987 to 1,573","7.1","5.5 to 8.7"
"2021","51103","Lancaster County","10,766","1,291","983 to 1,599","12.0","9.1 to 14.9"
"2021","51105","Lee County","20,634","5,178","4,139 to 6,217","25.1","20.1 to 30.1"
"2021","51107","Loudoun County","425,448","15,315","12,529 to 18,101","3.6","2.9 to 4.3"
"2021","51109","Louisa County","38,680","3,873","3,053 to 4,693","10.0","7.9 to 12.1"
"2021","51111","Lunenburg County","10,955","2,045","1,549 to 2,541","18.7","14.2 to 23.2"
"2021","51113","Madison County","13,803","1,294","972 to 1,616","9.4","7.1 to 11.7"
"2021","51115","Mathews County","8,490","776","589 to 963","9.1","6.9 to 11.3"
"2021","51117","Mecklenburg County","29,436","4,619","3,684 to 5,554","15.7","12.5 to 18.9"
"2021","51119","Middlesex County","10,452","1,360","1,036 to 1,684","13.0","9.9 to 16.1"
"2021","51121","Montgomery County","88,491","20,612","18,606 to 22,618","23.3","21.0 to 25.6"
"2021","51125","Nelson County","14,717","1,828","1,450 to 2,206","12.4","9.8 to 15.0"
"2021","51127","New Kent County","23,381","1,150","861 to 1,439","4.9","3.7 to 6.1"
"2021","51131","Northampton County","11,875","2,089","1,623 to 2,555","17.6","13.7 to 21.5"
"2021","51133","Northumberland County","12,008","1,579","1,210 to 1,948","13.1","10.0 to 16.2"
"2021","51135","Nottoway County","13,324","2,800","2,118 to 3,482","21.0","15.9 to 26.1"
"2021","51137","Orange County","36,669","3,257","2,501 to 4,013","8.9","6.8 to 11.0"
"2021","51139","Page County","23,621","3,154","2,524 to 3,784","13.4","10.7 to 16.1"
