year,county,B17020_001E,B17020_002E,B17020_003E,B17020_004E,B17020_005E,state,county 1
01/01/2018 12:00:00 AM,"Tazewell County, Virginia",40559,6550,895,711,351,51,185
01/01/2015 12:00:00 AM,"Accomack County, Virginia",32582,6384,741,828,497,51,001
01/01/2015 12:00:00 AM,"Albemarle County, Virginia",95348,9714,735,502,829,51,003
01/01/2015 12:00:00 AM,"Alleghany County, Virginia",15765,2682,246,295,225,51,005
01/01/2015 12:00:00 AM,"Amelia County, Virginia",12665,1471,205,187,81,51,007
01/01/2015 12:00:00 AM,"Amherst County, Virginia",31371,4086,353,422,357,51,009
01/01/2014 12:00:00 AM,"Accomack County, Virginia",32646,6697,849,847,427,51,001
01/01/2015 12:00:00 AM,"Appomattox County, Virginia",15116,2668,204,314,361,51,011
01/01/2014 12:00:00 AM,"Albemarle County, Virginia",94466,9162,623,528,839,51,003
01/01/2015 12:00:00 AM,"Arlington County, Virginia",221211,19996,1558,1412,1235,51,013
01/01/2014 12:00:00 AM,"Alleghany County, Virginia",15836,2250,195,285,130,51,005
01/01/2015 12:00:00 AM,"Augusta County, Virginia",70277,6694,500,683,825,51,015
01/01/2014 12:00:00 AM,"Amelia County, Virginia",12658,1210,113,121,57,51,007
01/01/2015 12:00:00 AM,"Bath County, Virginia",4488,347,9,0,22,51,017
01/01/2014 12:00:00 AM,"Amherst County, Virginia",31337,3509,379,289,248,51,009
01/01/2015 12:00:00 AM,"Bedford County, Virginia",75856,7372,791,589,663,51,019
01/01/2014 12:00:00 AM,"Appomattox County, Virginia",14983,2732,199,261,391,51,011
01/01/2015 12:00:00 AM,"Bland County, Virginia",5725,621,80,52,23,51,021
01/01/2014 12:00:00 AM,"Arlington County, Virginia",217382,19115,1601,1360,1336,51,013
01/01/2015 12:00:00 AM,"Botetourt County, Virginia",32837,2701,240,274,280,51,023
01/01/2014 12:00:00 AM,"Augusta County, Virginia",69988,6536,632,594,747,51,015
01/01/2015 12:00:00 AM,"Brunswick County, Virginia",14829,3298,440,349,289,51,025
01/01/2014 12:00:00 AM,"Bath County, Virginia",4559,426,12,0,29,51,017
01/01/2015 12:00:00 AM,"Buchanan County, Virginia",22362,5841,540,421,674,51,027
01/01/2014 12:00:00 AM,"Bedford County, Virginia",75046,7638,969,732,546,51,019
01/01/2015 12:00:00 AM,"Buckingham County, Virginia",15010,2867,320,369,334,51,029
01/01/2014 12:00:00 AM,"Bland County, Virginia",5790,784,100,80,36,51,021
01/01/2015 12:00:00 AM,"Campbell County, Virginia",54455,7309,724,685,695,51,031
01/01/2014 12:00:00 AM,"Botetourt County, Virginia",32784,2350,220,282,252,51,023
01/01/2015 12:00:00 AM,"Caroline County, Virginia",27164,3601,408,530,469,51,033
01/01/2014 12:00:00 AM,"Brunswick County, Virginia",14848,3491,515,356,366,51,025
01/01/2015 12:00:00 AM,"Carroll County, Virginia",29692,5017,494,365,458,51,035
01/01/2014 12:00:00 AM,"Buchanan County, Virginia",22612,5427,581,505,605,51,027
01/01/2015 12:00:00 AM,"Charles City County, Virginia",7089,933,66,92,114,51,036
01/01/2014 12:00:00 AM,"Buckingham County, Virginia",14382,3189,396,330,456,51,029
01/01/2015 12:00:00 AM,"Charlotte County, Virginia",12138,2589,395,148,277,51,037
01/01/2014 12:00:00 AM,"Campbell County, Virginia",54287,8035,862,732,737,51,031
01/01/2015 12:00:00 AM,"Chesterfield County, Virginia",323229,24002,2681,2530,2590,51,041
01/01/2014 12:00:00 AM,"Caroline County, Virginia",27281,3411,395,433,477,51,033
01/01/2015 12:00:00 AM,"Clarke County, Virginia",14064,1556,213,78,221,51,043
01/01/2014 12:00:00 AM,"Carroll County, Virginia",29703,5502,560,480,464,51,035
01/01/2015 12:00:00 AM,"Craig County, Virginia",5195,611,45,117,15,51,045
01/01/2014 12:00:00 AM,"Charles City County, Virginia",7130,972,57,89,104,51,036
01/01/2015 12:00:00 AM,"Culpeper County, Virginia",46698,4320,554,434,295,51,047
01/01/2014 12:00:00 AM,"Charlotte County, Virginia",12217,2359,354,197,271,51,037
01/01/2015 12:00:00 AM,"Cumberland County, Virginia",9759,1996,350,145,268,51,049
01/01/2014 12:00:00 AM,"Chesterfield County, Virginia",319272,23079,2625,2386,2431,51,041
01/01/2015 12:00:00 AM,"Dickenson County, Virginia",15059,3225,445,287,293,51,051
01/01/2014 12:00:00 AM,"Clarke County, Virginia",14001,1336,140,101,159,51,043
01/01/2015 12:00:00 AM,"Dinwiddie County, Virginia",27397,4061,383,366,353,51,053
01/01/2014 12:00:00 AM,"Craig County, Virginia",5186,541,41,96,35,51,045
01/01/2015 12:00:00 AM,"Essex County, Virginia",11049,1533,113,181,149,51,057
01/01/2014 12:00:00 AM,"Culpeper County, Virginia",46262,4465,473,520,394,51,047
01/01/2015 12:00:00 AM,"Fairfax County, Virginia",1119457,66762,7323,7438,5708,51,059
01/01/2014 12:00:00 AM,"Cumberland County, Virginia",9854,1827,344,92,231,51,049
01/01/2015 12:00:00 AM,"Fauquier County, Virginia",67041,3762,456,393,245,51,061
01/01/2014 12:00:00 AM,"Dickenson County, Virginia",15270,3080,366,272,237,51,051
01/01/2015 12:00:00 AM,"Floyd County, Virginia",15435,1551,40,72,112,51,063
01/01/2014 12:00:00 AM,"Dinwiddie County, Virginia",27353,3755,303,297,337,51,053
01/01/2015 12:00:00 AM,"Fluvanna County, Virginia",24693,1618,129,71,131,51,065
01/01/2014 12:00:00 AM,"Essex County, Virginia",11059,1366,87,129,110,51,057
01/01/2015 12:00:00 AM,"Franklin County, Virginia",54678,8123,851,1057,788,51,067
01/01/2014 12:00:00 AM,"Fairfax County, Virginia",1107694,66251,7793,7207,5948,51,059
01/01/2015 12:00:00 AM,"Frederick County, Virginia",80204,5247,499,541,448,51,069
01/01/2014 12:00:00 AM,"Fauquier County, Virginia",66268,3835,452,402,292,51,061
01/01/2015 12:00:00 AM,"Giles County, Virginia",16703,1891,69,40,168,51,071
01/01/2014 12:00:00 AM,"Floyd County, Virginia",15375,1623,50,96,131,51,063
01/01/2015 12:00:00 AM,"Gloucester County, Virginia",36726,2735,123,113,411,51,073
